Time(microseconds),Data_set 0,Data_set 1,Data_set 2,Data_set 3,Data_set 4,Data_set 5,Data_set 6
2003.133125,596,598,598,595,595,596,600
2011.9575,595,596,595,595,596,596,598
2020.781875,598,595,598,595,596,598,598
2029.60625,595,595,598,595,595,598,598
2038.430625,598,595,598,595,598,596,598
2047.2549999999999,598,595,598,595,595,598,598
2056.079375,595,595,595,595,595,595,598
2064.90375,595,595,598,595,595,598,598
2073.728125,596,598,595,595,598,596,598
2082.5525,595,595,596,595,595,598,598
2091.376875,596,596,596,595,595,596,598
2100.20125,595,596,595,595,596,595,600
2109.0256249999998,595,595,596,595,596,595,598
2117.85,595,595,598,595,595,595,598
2126.674375,596,595,598,595,596,598,598
2135.4987499999997,595,598,598,595,595,598,598
2144.323125,595,595,598,595,596,596,598
2153.1475,595,595,598,595,595,595,598
2161.971875,595,595,596,595,595,595,598
2170.79625,595,595,595,595,595,598,598
2179.620625,595,596,595,595,595,595,598
2188.445,595,595,598,595,596,595,598
2197.269375,595,595,595,595,595,595,598
2206.09375,595,595,596,595,595,595,598
2214.918125,595,595,595,595,595,595,598
2223.7425,595,595,595,595,596,596,598
2232.566875,595,595,595,595,595,595,598
2241.39125,595,595,595,595,595,596,596
2250.215625,595,595,595,595,595,595,598
2259.04,595,598,595,595,595,595,598
2267.864375,595,595,595,595,595,595,598
2276.68875,595,595,595,595,595,595,598
2285.513125,595,595,598,595,595,595,598
2294.3375,595,595,595,595,595,595,598
2303.161875,595,595,595,595,595,595,598
2311.98625,595,595,595,595,595,595,598
2320.810625,595,595,595,595,595,595,598
2329.6349999999998,595,595,596,595,595,595,596
2338.459375,595,595,598,595,595,595,598
2347.28375,595,595,595,595,595,595,598
2356.1081249999997,595,595,595,595,595,595,598
2364.9325,595,595,595,595,595,595,595
2373.756875,595,595,595,595,595,595,598
2382.58125,595,595,595,595,595,595,595
2391.405625,595,595,595,595,595,595,598
2400.23,595,595,595,595,595,595,598
2409.054375,595,595,596,595,595,595,595
2417.87875,595,595,595,595,595,595,598
2426.703125,595,595,595,595,595,595,595
2435.5275,595,595,595,595,595,595,596
2444.351875,595,595,595,595,595,595,595
2453.17625,595,595,595,595,595,595,595
2462.000625,595,595,595,595,595,595,596
2470.825,595,595,595,595,595,595,595
2479.649375,595,595,595,595,595,595,598
2488.47375,595,595,595,595,595,595,595
2497.298125,595,595,595,595,595,595,595
2506.1225,595,595,595,595,595,595,595
2514.946875,595,595,595,595,595,595,596
2523.77125,595,595,595,595,595,595,595
2532.595625,595,595,595,595,595,595,598
2541.42,595,595,595,595,595,595,595
2550.2443749999998,595,595,595,595,595,595,595
2559.06875,595,595,595,595,595,595,598
2567.893125,595,595,595,595,595,595,596
2576.7174999999997,595,595,595,595,595,595,595
2585.541875,595,595,595,595,595,595,595
2594.36625,595,595,595,595,595,595,595
2603.190625,595,595,595,595,595,595,595
2612.015,595,595,595,595,595,595,595
2620.839375,595,595,595,595,595,595,595
2629.66375,595,595,595,595,595,595,596
2638.488125,595,595,595,595,595,595,595
2647.3125,595,595,595,595,595,595,595
2656.136875,595,595,595,595,595,595,595
2664.96125,595,595,595,595,595,595,595
2673.785625,595,595,595,595,595,595,595
2682.61,595,595,595,595,595,595,595
2691.434375,595,595,595,595,595,595,595
2700.25875,595,595,595,595,595,595,595
2709.083125,595,595,595,595,595,595,595
2717.9075,595,595,595,595,595,595,595
2726.731875,595,595,595,595,595,595,595
2735.55625,595,595,595,595,595,595,595
2744.380625,595,595,595,595,595,595,595
2753.205,595,595,595,595,595,595,595
2762.029375,595,595,595,595,595,595,595
2770.8537499999998,595,595,595,595,595,595,595
2779.678125,595,595,595,595,595,595,595
2788.5025,595,595,595,595,595,595,595
2797.3268749999997,595,595,595,595,595,595,595
2806.15125,595,595,595,595,595,595,595
2814.975625,595,595,595,595,595,595,595
2823.8,595,595,595,595,595,595,595
2832.624375,595,595,595,595,595,595,595
2841.44875,595,595,595,595,595,595,595
2850.273125,595,595,595,595,595,595,595
2859.0975,595,595,595,595,595,595,595
2867.921875,595,595,595,595,595,595,595
2876.74625,595,595,595,595,595,595,595
2885.570625,595,595,595,595,595,595,595
2894.395,595,595,595,595,595,595,595
2903.219375,595,595,595,595,595,595,595
2912.04375,595,595,595,595,595,595,595
2920.868125,595,595,595,595,595,595,595
2929.6925,595,595,595,595,595,595,595
2938.516875,595,595,595,595,595,595,595
2947.34125,595,595,595,595,595,595,595
2956.165625,595,595,595,595,595,595,595
2964.99,595,595,595,595,595,595,595
2973.814375,595,595,595,595,595,595,595
2982.63875,595,595,595,595,595,595,595
2991.4631249999998,595,595,595,595,595,595,595
3000.2875,595,595,595,595,595,595,595
3009.111875,595,595,595,595,595,595,595
3017.9362499999997,595,595,595,595,595,595,595
3026.760625,595,595,595,595,595,595,595
3035.585,595,595,595,595,595,595,595
3044.4093749999997,595,595,595,595,595,595,595
3053.23375,595,595,595,595,595,595,595
3062.058125,595,595,595,595,595,595,595
3070.8825,595,595,595,595,595,595,595
3079.706875,595,595,595,595,595,595,595
3088.53125,595,595,595,595,595,595,595
3097.355625,595,595,595,595,595,595,595
3106.18,595,595,595,595,595,595,595
3115.004375,595,595,595,595,595,595,595
3123.82875,595,595,595,595,595,595,595
3132.653125,595,595,595,595,595,595,595
3141.4775,595,595,595,595,595,595,595
3150.301875,595,595,595,595,595,595,595
3159.12625,595,595,595,595,595,595,595
3167.950625,595,595,595,595,595,595,595
3176.775,595,595,595,595,595,595,595
3185.599375,595,595,595,595,595,595,595
3194.42375,595,595,595,595,595,595,595
3203.248125,595,595,595,595,595,595,595
3212.0724999999998,595,595,595,595,595,595,595
3220.896875,595,595,595,595,595,595,595
3229.72125,595,595,595,595,595,595,595
3238.5456249999997,595,595,595,595,595,595,595
3247.37,595,595,595,595,595,595,595
3256.194375,595,595,595,595,595,595,595
3265.0187499999997,595,595,595,595,595,595,595
3273.843125,595,595,595,595,595,595,595
3282.6675,595,595,595,595,595,595,595
3291.491875,595,595,595,595,595,595,595
3300.31625,595,595,595,595,595,595,595
3309.140625,595,595,595,595,595,595,595
3317.965,595,595,595,595,595,595,595
3326.789375,595,595,595,595,595,595,595
3335.61375,595,595,595,595,595,595,595
3344.438125,595,595,595,595,595,595,595
3353.2625,595,595,595,595,595,595,595
3362.086875,595,595,595,595,595,595,595
3370.91125,595,595,595,595,595,595,595
3379.735625,595,595,595,595,595,595,595
3388.56,595,595,595,595,595,595,595
3397.384375,595,595,595,595,595,595,595
3406.20875,595,595,595,595,595,595,595
3415.033125,595,595,595,595,595,595,595
3423.8575,595,595,595,595,595,595,595
3432.6818749999998,595,595,595,595,595,595,595
3441.50625,595,595,595,595,595,595,595
3450.330625,595,595,595,595,595,595,595
3459.1549999999997,595,595,595,595,595,595,595
3467.979375,595,595,595,595,595,595,595
3476.80375,595,595,595,595,595,595,595
3485.6281249999997,595,595,595,595,595,595,595
3494.4525,595,595,595,595,595,595,595
3503.276875,595,595,595,595,595,595,595
3512.10125,595,595,595,595,595,595,595
3520.925625,595,595,595,595,595,595,595
3529.75,595,595,595,595,595,595,595
3538.574375,595,595,595,595,595,595,595
3547.39875,595,595,595,595,595,595,595
3556.223125,595,595,595,595,595,595,595
3565.0475,595,595,595,595,595,595,595
3573.871875,595,595,595,595,595,595,595
3582.69625,595,595,595,595,595,595,595
3591.520625,595,595,595,595,595,595,595
3600.345,595,595,595,595,595,595,595
3609.169375,595,595,595,595,595,595,595
3617.99375,595,595,595,595,595,595,595
3626.818125,595,595,595,595,595,595,595
3635.6425,595,595,595,595,595,595,595
3644.466875,595,595,595,595,595,595,595
3653.2912499999998,595,595,595,595,595,595,595
3662.115625,595,595,595,595,595,595,595
3670.94,595,595,595,595,595,595,595
3679.7643749999997,595,595,595,595,595,595,595
3688.58875,595,595,595,595,595,595,595
3697.413125,595,595,595,595,595,595,595
3706.2374999999997,595,595,595,595,595,595,595
3715.061875,595,595,595,595,595,595,595
3723.88625,595,595,595,595,595,595,595
3732.710625,595,595,595,595,595,595,595
3741.535,595,595,595,595,595,595,595
3750.359375,595,595,595,595,595,595,595
3759.18375,595,595,595,595,595,595,595
3768.008125,595,595,595,595,595,595,595
3776.8325,595,595,595,595,595,595,595
3785.656875,593,593,595,595,595,595,595
3794.48125,595,595,595,595,595,595,595
3803.305625,595,595,595,595,595,595,595
3812.13,595,593,595,595,595,595,595
3820.954375,595,595,595,595,595,595,595
3829.77875,595,595,595,595,595,595,595
3838.603125,595,595,595,595,595,595,595
3847.4275,595,595,595,595,595,595,595
3856.251875,595,595,595,595,595,595,595
3865.07625,593,595,595,595,595,595,595
3873.9006249999998,595,595,595,595,595,595,595
3882.725,595,595,595,595,595,595,595
3891.549375,595,595,595,595,595,595,595
3900.3737499999997,595,595,595,595,595,595,595
3909.198125,595,595,595,595,595,595,595
3918.0225,595,595,595,595,595,595,595
3926.8468749999997,593,595,593,595,595,595,595
3935.67125,595,595,595,595,595,595,595
3944.495625,593,593,593,595,595,595,595
3953.3199999999997,593,595,595,595,595,595,595
3962.144375,593,595,595,595,595,595,595
3970.96875,595,595,595,595,595,595,595
3979.793125,595,595,593,593,595,595,595
3988.6175,595,595,593,595,595,595,595
3997.441875,593,595,595,593,595,595,595
4006.26625,593,593,595,595,595,595,595
4015.090625,595,593,593,595,595,595,595
4023.915,593,595,593,593,593,595,595
4032.739375,595,595,593,595,595,595,595
4041.56375,593,595,593,595,595,595,595
4050.388125,595,595,595,595,595,595,595
4059.2125,593,593,593,595,593,595,595
4068.036875,593,595,595,595,595,595,595
4076.86125,593,593,595,595,595,595,595
4085.685625,593,595,595,593,595,595,595
4094.5099999999998,593,595,593,593,595,595,595
4103.334375,593,593,595,593,595,595,595
4112.15875,593,595,595,593,595,595,595
4120.983125,593,595,593,593,595,595,595
4129.8075,593,595,593,595,595,595,595
4138.631875,593,595,595,593,595,595,595
4147.45625,593,595,595,593,595,595,595
4156.280625,593,595,593,593,595,595,595
4165.105,593,593,595,593,595,595,595
4173.929375,593,593,593,593,595,595,595
4182.75375,593,595,593,595,595,595,595
4191.578125,593,593,595,593,595,595,595
4200.4025,593,595,595,593,595,595,595
4209.226875,593,593,595,593,595,595,595
4218.0512499999995,593,593,593,593,595,595,595
4226.875625,593,593,593,595,595,595,595
4235.7,593,593,593,593,593,595,595
4244.524375,593,593,593,593,595,595,595
4253.34875,593,593,593,595,595,595,595
4262.173125,593,593,595,593,595,593,595
4270.9974999999995,593,593,593,593,595,595,595
4279.821875,593,593,593,593,595,595,595
4288.64625,593,593,593,593,595,595,593
4297.470625,593,593,593,593,595,595,595
4306.295,593,593,593,593,595,593,593
4315.119375,593,593,593,593,595,595,595
4323.94375,593,593,593,593,593,593,595
4332.768125,593,593,593,593,593,595,595
4341.5925,593,593,593,595,595,595,595
4350.416875,593,595,593,593,593,595,595
4359.24125,593,593,593,595,593,595,595
4368.065625,593,593,593,593,593,595,595
4376.89,593,593,595,593,593,595,595
4385.714375,593,593,593,593,595,593,595
4394.53875,593,593,593,593,593,595,595
4403.363125,593,593,593,593,595,595,595
4412.1875,593,593,593,593,595,595,595
4421.011875,593,593,593,593,593,595,595
4429.83625,593,593,593,593,595,595,595
4438.6606249999995,593,595,593,593,593,595,595
4447.485,593,593,593,593,595,595,595
4456.309375,593,593,593,593,593,593,595
4465.13375,593,593,593,593,593,595,593
4473.958125,593,593,593,593,593,595,595
4482.7825,593,593,593,593,593,595,595
4491.6068749999995,593,593,593,593,593,595,595
4500.43125,593,593,593,593,593,595,595
4509.255625,593,593,593,593,593,593,595
4518.08,593,593,593,593,593,595,595
4526.904375,593,593,593,593,593,595,593
4535.72875,593,593,593,593,593,593,593
4544.553125,593,593,593,593,593,593,595
4553.3775,593,593,593,593,593,593,595
4562.201875,593,593,593,593,593,593,595
4571.02625,593,593,593,593,593,595,593
4579.850625,593,593,593,593,593,595,595
4588.675,593,593,593,593,593,593,593
4597.499375,593,593,593,593,593,593,595
4606.32375,593,593,593,593,593,593,595
4615.148125,593,593,593,593,593,593,595
4623.9725,593,593,593,593,593,593,593
4632.796875,593,593,593,593,593,595,593
4641.62125,593,593,593,593,593,593,593
4650.445625,593,593,593,593,593,593,595
4659.2699999999995,593,593,593,593,593,593,593
4668.094375,593,593,593,593,593,593,593
4676.91875,593,593,593,593,593,595,593
4685.743125,593,593,593,593,593,593,593
4694.5675,593,593,593,593,593,593,593
4703.391875,593,593,593,593,593,593,593
4712.2162499999995,593,593,593,593,593,593,593
4721.040625,593,593,593,593,593,593,595
4729.865,593,593,593,593,593,593,593
4738.689375,593,593,593,593,593,595,595
4747.51375,593,593,593,593,593,593,593
4756.338125,593,593,593,593,593,593,593
4765.1625,593,593,593,593,593,593,595
4773.986875,593,593,593,593,593,593,593
4782.81125,593,593,593,593,593,593,595
4791.635625,593,593,593,593,593,593,593
4800.46,593,593,593,593,593,593,593
4809.284375,593,593,593,593,593,593,593
4818.10875,593,593,593,593,593,593,593
4826.933125,593,593,593,593,593,593,595
4835.7575,593,593,593,593,593,593,595
4844.581875,593,593,593,593,593,593,593
4853.40625,593,593,593,593,593,593,593
4862.230625,593,593,593,593,593,593,593
4871.055,593,593,593,593,593,593,593
4879.8793749999995,593,593,593,593,593,593,593
4888.70375,593,593,593,593,593,593,593
4897.528125,593,593,593,593,593,593,593
4906.3525,593,593,593,593,593,593,593
4915.176875,593,593,593,593,593,593,593
4924.00125,593,593,593,593,593,593,593
4932.8256249999995,593,593,593,593,593,593,593
4941.65,593,593,593,593,593,593,593
4950.474375,593,593,593,593,593,593,593
4959.29875,593,593,593,593,593,593,593
4968.123125,593,593,593,593,593,593,593
4976.9475,593,593,593,593,593,593,593
4985.771875,593,593,593,593,593,593,595
4994.59625,593,593,593,593,593,593,593
5003.420625,593,593,593,593,593,593,595
5012.245,593,593,593,593,593,593,593
5021.069375,593,593,593,593,593,593,593
5029.89375,593,593,593,593,593,593,593
5038.718125,593,593,593,593,593,593,593
5047.5425,593,593,593,593,593,593,593
5056.366875,593,593,593,593,593,593,593
5065.19125,593,593,593,593,593,593,593
5074.015625,593,593,593,593,593,593,593
5082.84,593,593,593,593,593,593,593
5091.664375,593,593,593,593,593,593,593
5100.4887499999995,593,593,593,593,593,593,593
5109.313125,593,593,593,593,593,593,593
5118.1375,593,593,593,593,593,593,593
5126.961875,593,593,593,593,593,593,593
5135.78625,593,593,593,593,593,593,593
5144.610625,593,593,593,593,593,593,593
5153.4349999999995,593,593,593,593,593,593,593
5162.259375,593,593,593,593,593,593,593
5171.08375,593,593,593,593,593,593,593
5179.908125,593,593,593,593,593,593,593
5188.7325,593,593,593,593,593,593,593
5197.556875,593,593,593,593,593,593,593
5206.38125,593,593,593,593,593,593,593
5215.205625,593,593,593,593,593,593,593
5224.03,593,593,593,593,593,593,593
5232.854375,593,593,593,593,593,593,593
5241.67875,593,593,593,593,593,593,593
5250.503125,593,593,593,593,593,593,593
5259.3275,593,593,593,593,593,593,593
5268.151875,593,593,593,593,593,593,593
5276.97625,593,593,593,593,593,593,593
5285.800625,593,593,593,593,593,593,593
5294.625,593,593,593,593,593,593,593
5303.449375,593,593,593,593,593,593,593
5312.27375,593,593,593,593,593,593,593
5321.0981249999995,593,593,593,593,593,593,593
5329.9225,593,593,593,593,593,593,593
5338.746875,593,593,593,593,593,593,593
5347.57125,593,593,593,593,593,593,593
5356.395625,593,593,593,593,593,593,593
5365.22,593,593,593,593,593,593,593
5374.0443749999995,593,593,593,593,593,593,593
5382.86875,593,593,593,593,593,593,593
5391.693125,593,593,593,593,593,593,593
5400.5175,593,593,593,593,593,593,593
5409.341875,593,593,593,593,593,593,593
5418.16625,593,593,593,593,593,593,593
5426.990625,593,593,593,593,593,593,593
5435.815,593,593,593,593,593,593,593
5444.639375,593,593,593,593,593,593,593
5453.46375,593,593,593,593,593,593,593
5462.288125,593,593,593,593,593,593,593
5471.1125,591,593,593,593,593,593,593
5479.936875,593,593,593,593,593,593,593
5488.76125,593,593,593,593,593,593,593
5497.585625,593,593,593,593,593,593,593
5506.41,593,593,593,593,593,593,593
5515.234375,593,593,593,593,593,593,593
5524.05875,593,593,593,593,593,593,593
5532.883125,593,593,593,593,593,593,593
5541.7074999999995,593,593,593,593,593,593,593
5550.531875,593,593,593,593,593,593,593
5559.35625,593,593,593,593,593,593,593
5568.180625,593,593,593,593,593,593,593
5577.005,593,593,593,593,593,593,593
5585.829375,593,593,593,593,593,593,593
5594.6537499999995,593,593,593,593,593,593,593
5603.478125,593,593,593,593,593,593,593
5612.3025,593,593,593,593,593,593,593
5621.126875,593,593,593,591,593,593,593
5629.95125,593,593,593,593,593,593,593
5638.775625,591,593,593,593,593,593,593
5647.6,593,593,593,593,593,593,593
5656.424375,593,593,593,593,593,593,593
5665.24875,593,593,593,593,593,593,593
5674.073125,591,593,593,593,593,593,593
5682.8975,593,593,593,593,593,593,593
5691.721875,593,593,593,593,593,593,593
5700.54625,593,593,593,593,593,593,593
5709.370625,593,593,593,593,593,593,593
5718.195,593,593,593,593,593,593,593
5727.019375,593,593,593,593,593,593,593
5735.84375,591,593,593,593,593,593,593
5744.668125,593,593,593,593,593,593,593
5753.4925,593,593,593,593,593,593,593
5762.3168749999995,591,593,593,593,593,593,593
5771.14125,593,593,593,593,593,593,593
5779.965625,591,591,593,593,593,593,593
5788.79,593,593,593,593,593,593,593
5797.614375,593,593,593,593,593,593,593
5806.43875,591,593,593,593,593,593,593
5815.2631249999995,591,593,593,593,593,593,593
5824.0875,591,593,593,593,593,593,593
5832.911875,593,593,593,593,593,593,593
5841.73625,593,593,593,593,593,593,593
5850.560625,591,593,593,593,593,593,593
5859.385,591,593,593,593,593,593,593
5868.209374999999,593,593,593,593,593,593,593
5877.03375,593,593,593,593,593,593,593
5885.858125,591,593,593,593,593,593,593
5894.6825,593,593,593,593,593,593,593
5903.506875,593,591,593,593,593,593,593
5912.33125,591,593,593,593,593,593,593
5921.155625,593,593,593,591,593,593,593
5929.98,593,591,593,593,593,593,593
5938.804375,591,593,591,591,593,593,593
5947.62875,593,593,591,593,593,593,593
5956.453125,593,593,593,593,593,593,593
5965.2775,591,593,593,591,593,593,593
5974.101875,593,591,593,593,593,593,593
5982.9262499999995,593,591,593,593,593,593,593
5991.750625,591,591,593,591,593,593,593
6000.575,591,593,593,593,593,593,593
6009.399375,593,591,591,591,593,593,593
6018.22375,591,593,593,591,593,593,593
6027.048125,593,591,593,593,593,593,593
6035.8724999999995,591,591,593,591,593,593,593
6044.696875,591,593,593,593,593,593,593
