Time(microseconds),Average Signal
3286,41.0805074165317
3294,40.82903985116522
3302,40.575492945529945
3310,40.319876969628865
3318,40.06220219346463
3326,39.802478887039534
3334,39.54071732035656
3342,39.276927763418016
3350,39.011120486227
3358,38.74330575878592
3366,38.473493851097544
3374,38.20169503316403
3382,37.92791957498851
3390,37.65217774657384
3398,37.37447981792164
3406,37.09483605903602
3414,36.8132567399185
3422,36.52975213057195
3430,36.24433250099957
3438,35.9570081212032
3447,35.66778926118609
3455,35.37668619095038
3463,35.083709180499426
3471,34.78886849983528
3479,34.49217441896083
3487,34.19363720787837
3495,33.89326713659099
3503,33.59107447510135
3511,33.287069493411735
3519,32.98126246152479
3527,32.673663649443625
3535,32.36428332717075
3543,32.05313176470814
3551,31.740219232059573
3559,31.425555999226777
3567,31.10915233621284
3575,30.791018513020312
3583,30.471164799651593
3591,30.149601466109672
3599,29.82633878239718
3607,29.501387018516095
3615,29.174756444470415
3623,28.84645733026153
3631,28.51649994589266
3639,28.18489456136621
3647,27.85165144668539
3655,27.516780871851942
3663,27.1802931068693
3671,26.84219842173953
3680,26.50250708646563
3688,26.161229371050123
3696,25.818374522046145
3704,25.473946897569
3712,25.12794665372727
3720,24.780374079574354
3728,24.431233174493784
3736,24.080528865453072
3744,23.72826607941894
3752,23.374451109352982
3760,23.019095712193227
3768,22.662213010871678
3776,22.303816128320328
3784,21.94391978440006
3792,21.582545086683428
3800,21.219714739672305
3808,20.85545144786755
3816,20.48977791577048
3824,20.122716847882405
3832,19.75429094870465
3840,19.384522922738626
3848,19.013435474485547
3856,18.64105130844638
3864,18.267393129122556
3872,17.892483641015836
3880,17.51634554862709
3888,17.13900155645774
3896,16.760474369008644
3905,16.380786690781466
3913,15.999961226277733
3921,15.618020679997972
3929,15.234987756444522
3937,14.850885160117553
3945,14.465735595518954
3953,14.07956176715026
3961,13.692386379512342
3969,13.304232137106272
3977,12.915121744433598
3985,12.525077905995978
3993,12.134123326294379
4001,11.742280709829554
4009,11.349572761103722
4017,10.95602218461751
4025,10.56165168487247
4033,10.166483966370023
4041,9.77054173361103
4049,9.373847691096916
4057,8.97642454332945
4065,8.57829499480916
4073,8.179481750038033
4081,7.780007513516697
4089,7.37989498974693
4097,6.9791668832296985
4105,6.577845898466659
4113,6.175954739958556
4121,5.773516112207169
4129,5.370552719713462
4138,4.967087266978748
4146,4.563142458504679
4154,4.158740998792123
4162,3.7539055923425018
4170,3.348658943657245
4178,2.9430237572373272
4186,2.5370227375841736
4194,2.1306785891993236
4202,1.724014016583645
4210,1.3170517242385529
4218,0.9098144166657107
4226,0.502324798365521
4234,0.09460557384032597
4242,-0.31332055240936185
4250,-0.7214308758820067
4258,-1.1297026920761688
4266,-1.5381132964906499
4274,-1.9466399846244897
4282,-2.3552600519757867
4290,-2.7639507940440353
4298,-3.172689506327117
4306,-3.5814534843245305
4314,-3.9902200235344942
4322,-4.398966419455576
4330,-4.807669967587035
4338,-5.216307963427223
4346,-5.6248577024750475
4354,-6.033296480228966
4363,-6.441601592188121
4371,-6.849750333850853
4379,-7.25772000071586
4387,-7.665487888282158
4395,-8.0730312920482
4403,-8.4803275075128
4411,-8.887353830174643
4419,-9.29408755553263
4427,-9.70050597908535
4435,-10.106586396331473
4443,-10.512306102769806
4451,-10.917642393898578
4459,-11.322572565217165
4467,-11.727073912224132
4475,-12.131123730418047
4483,-12.534699315297726
4491,-12.937777962361722
4499,-13.340336967108954
4507,-13.742353625038117
4515,-14.143805231647772
4523,-14.544669082436727
4531,-14.944922472903897
4539,-15.344542698547613
4547,-15.743507054867028
4555,-16.141792837360363
4563,-16.539377341526663
4571,-16.936237862864484
4579,-17.33235169687286
4587,-17.727696139050135
4596,-18.122248484895216
4604,-18.515986029906802
4612,-18.90888606958334
4620,-19.300925899423863
4628,-19.692086636130277
4636,-20.082366219082083
4644,-20.471772560321963
4652,-20.860315287086834
4660,-21.24800473592306
4668,-21.634850965587432
4676,-22.02086066637442
4684,-22.40603046709598
4692,-22.79034179103229
4700,-23.17377264707706
4708,-23.55630104412582
4716,-23.93790499107286
4724,-24.318562496812557
4732,-24.698251570239538
4740,-25.076950220248772
4748,-25.45463645573441
4756,-25.831288285591423
4764,-26.20688371871455
4772,-26.581400763998047
4780,-26.95481743033668
4788,-27.327111726625052
4796,-27.698261661757666
4804,-28.068245244629374
4812,-28.437040484134464
4821,-28.80462538916811
4829,-29.170977968624257
4837,-29.536076231397747
4845,-29.899898186383556
4853,-30.26242184247607
4861,-30.623625208569788
4869,-30.983486293559103
4877,-31.34198310633899
4885,-31.6990936558044
4893,-32.05479595084939
4901,-32.40906800036834
4909,-32.761887813256465
4917,-33.11323339840825
4925,-33.463082764718195
4933,-33.81141392108106
4941,-34.158204876391096
4949,-34.5034336395434
4957,-34.84707821943225
4965,-35.189116624952376
4973,-35.52952686499838
4981,-35.86828694846503
4989,-36.20537488424668
4997,-36.54076868123787
5005,-36.87444634833366
5013,-37.20638589442845
5021,-37.53656532841673
5029,-37.86496265919292
5037,-38.19155589565207
5045,-38.516323046688925
5054,-38.83924212119731
5062,-39.16029112807253
5070,-39.47944807620941
5078,-39.796690974501814
5086,-40.111997831844675
5094,-40.42534665713285
5102,-40.73671545926061
5110,-41.046082247122584
5118,-41.35342502961385
5126,-41.658721815628454
5134,-41.96195061406135
5142,-42.26308943380683
5150,-42.56211628376008
5158,-42.85900917281492
5166,-43.15374610986677
5174,-43.44630510380979
5182,-43.73666416353861
5190,-44.02480129794796
5198,-44.310694515932454
5206,-44.59432182638671
5214,-44.87566123820514
5222,-45.15469076028246
5230,-45.43138840151353
5238,-45.70573217079284
5246,-45.97770007701469
5254,-46.247270129074366
5262,-46.51442033586559
5270,-46.77912870628364
5278,-47.04137324922306
5287,-47.30113197357822
5295,-47.55838288824375
5303,-47.81310400211471
5311,-48.06527332408528
5319,-48.31486886305008
5327,-48.561868627903834
5335,-48.806250627541175
5343,-49.04799287085682
5351,-49.28707336674506
5359,-49.52347012410087
5367,-49.757161151818615
5375,-49.98812445879304
5383,-50.21633805391865
5391,-50.44177994609008
5399,-50.66442814420205
5407,-50.88426065714906
5415,-51.101255493826095
5423,-51.315390663127175
5431,-51.52664417394729
5439,-51.734994035180826
5447,-51.94041825572261
5455,-52.14289484446718
5463,-52.342401810309255
5471,-52.53891716214311
5479,-52.73241890886405
5487,-52.92288505936567
5495,-53.110293622543736
5503,-53.294622607291615
5512,-53.475850022505064
5520,-53.65395387707801
5528,-53.828912179905544
5536,-54.00070293988182
5544,-54.169304165901806
5552,-54.334693866859666
5560,-54.49685005165082
5568,-54.655750729168744
5576,-54.81137390830908
5584,-54.96369759796589
5592,-55.11269980703413
5600,-55.25835854440819
5608,-55.40065181898258
5616,-55.53955763965192
5624,-55.675054015311176
5632,-55.80711895485484
5640,-55.93573046717743
5648,-56.06086656117322
5656,-56.18250524573742
5664,-56.300624529764505
5672,-56.415202422148994
5680,-56.5262169317854
5688,-56.63364606756834
5696,-56.73746783839255
5704,-56.83766025315286
5712,-56.93420132074334
5720,-57.02706905005907
5728,-57.11624144999455
5736,-57.20169652944416
5745,-57.283412297302874
5753,-57.36136676246508
5761,-57.43553793382541
5769,-57.505903820278476
5777,-57.572442430719
5785,-57.63513177404174
5793,-57.69394985914072
5801,-57.74887469491105
5809,-57.79988429024732
5817,-57.84695665404405
5825,-57.89006979519596
5833,-57.92920172259747
5841,-57.96433044514306
5849,-57.995433971727934
5857,-58.022490311246145
5865,-58.04547747259275
5873,-58.06437346466183
5881,-58.07915629634843
5889,-58.089803976547074
5897,-58.09629464228938
5905,-58.09860694315431
5913,-58.096719704627375
5921,-58.09061194326633
5929,-58.08026272339851
5937,-58.06565110935066
5945,-58.04675616544964
5953,-58.02355695602267
5961,-57.99603254539637
5970,-57.96416199789762
5978,-57.927924377853394
5986,-57.887298749590684
5994,-57.84226417743621
6002,-57.79279972571699
6010,-57.7388844587601
6018,-57.68049744089217
6026,-57.61761773644031
6034,-57.55022440973114
6042,-57.47829652509189
6050,-57.40181314684929
6058,-57.32075333933023
6066,-57.23509616686178
6074,-57.1448206937707
6082,-57.04990598438374
6090,-56.95033110302823
6098,-56.84607511403068
6106,-56.737117081718324
6114,-56.62343607041777
6122,-56.505011144456006
6130,-56.38182136816013
6138,-56.253845805856784
6146,-56.12106352187294
6154,-55.983453580535695
6162,-55.84099504617157
6170,-55.69366698310801
6178,-55.5414484556713
6186,-55.384318528189
6194,-55.222256264987394
6203,-55.05524073039392
6211,-54.88325098873521
6219,-54.706266104338155
6227,-54.52426514152948
6235,-54.33722716463642
6243,-54.14513123798592
6251,-53.94795642590476
6259,-53.74568179271968
6267,-53.53828640275778
6275,-53.325749320345906
6283,-53.10804960981096
6291,-52.885166335479774
6299,-52.65707856167934
6307,-52.42376535273675
6315,-52.18520577297876
6323,-51.9413788867319
6331,-51.69226375832381
6339,-51.43783945208059
6347,-51.178085032329655
6355,-50.91297956339787
6363,-50.642502109612224
6371,-50.36663173529935
6379,-50.08534750478623
6387,-49.79862848239995
6395,-49.50645373246716
6403,-49.20880231931483
6411,-48.90565330727017
6419,-48.596985760659585
6428,-48.282778743810304
6436,-47.96301132104928
6444,-47.637662556703276
6452,-47.30671151509917
6460,-46.97013726056392
6468,-46.62791885742429
6476,-46.28003537000748
6484,-45.92646586264003
6492,-45.56718939964948
6500,-45.202185045362
6508,-44.831431864104935
6516,-44.4549089202049
6524,-44.07259527798922
6532,-43.68447000178422
6540,-43.2905121559173
6548,-42.89070080471511
6556,-42.485015012504746
6564,-42.07343384361285
6572,-41.655936362366745
6580,-41.23250163309282
6588,-40.803108720118416
6596,-40.36773668777039
6604,-39.92636460037527
6612,-39.47897152226017
6620,-39.02553651775203
6628,-38.56603865117785
6636,-38.100456986864494
6644,-37.628770589138725
6652,-37.150958522327386
6661,-36.66699985075782
6669,-36.176873638756426
6677,-35.68055895065041
6685,-35.178034850766764
6693,-34.66928040343199
6701,-34.15427467297343
6709,-33.63299672371761
6717,-33.105425619991486
6725,-32.57154042612241
6733,-32.031320206436874
6741,-31.48474402526166
6749,-30.93179094692429
6757,-30.372440035750966
6765,-29.806670356069002
6773,-29.234460972205273
6781,-28.65579094848629
6789,-28.070639349239492
6797,-27.47898523879163
6805,-26.88080768146958
6813,-26.276085741600188
6821,-25.664798483510328
6829,-25.04693151864694
6837,-24.422496646937
6845,-23.791512215427257
6853,-23.153996571164175
6861,-22.509974583422807
6869,-21.859497210386806
6877,-21.20262193246757
6885,-20.539411672008594
6894,-19.869955052470516
6902,-19.19436187280773
6910,-18.512750834499634
6918,-17.825264439668867
6926,-17.132065856003273
6934,-16.43332217529795
6942,-15.729200489348397
6950,-15.019867889949897
6958,-14.305491468897767
6966,-13.58623831798716
6974,-12.862275529013374
6982,-12.133770193772047
6990,-11.400889404058347
6998,-10.663800251667237
7006,-9.922669828394802
7014,-9.177665226035522
7022,-8.428953536385272
7030,-7.676701851239226
7038,-6.9210772623926715
7046,-6.162246861640906
7054,-5.400377740779213
7062,-4.635636991603228
7070,-3.868191705907801
7078,-3.098208975488319
7086,-2.3258558921405346
7094,-1.5512995476592728
7102,-0.7747070338399595
7110,0.0037545575216739735
7119,0.7839181346306745
7127,1.5656166056919751
7135,2.348682878909713
7143,3.1329498624890597
7151,3.918250464634152
7159,4.704417593549927
7167,5.491284157441548
7175,6.278683064512808
7183,7.0664472229694475
7191,7.8544095410149275
7199,8.642402926854853
7207,9.430260288693486
7215,10.217814534735766
7223,11.00489857318605
7231,11.791345312249408
7239,12.57698766013041
7247,13.361658525033203
7255,14.145190815163307
7263,14.927417438724738
7271,15.708171303922889
7279,16.487285318961543
7287,17.26459239204589
7295,18.039925431380958
7303,18.813117345170564
7311,19.584001041620198
7319,20.352409428934013
7327,21.118175415316816
7335,21.88113190897379
7343,22.641111818108598
7352,23.397948050926875
7360,24.151473515632873
7368,24.90152112043164
7376,25.647923773527083
7384,26.390514383124483
7392,27.129125857428328
7400,27.863591104643653
7408,28.59374303297473
7416,29.31941455062637
7424,30.04043856580283
7432,30.756647986709613
7440,31.467875721551085
7448,32.17395467853173
7456,32.8747177658566
7464,33.569997891729614
7472,34.259627964356476
7480,34.94344089194114
7488,35.62126958268827
7496,36.292946944803305
7504,36.958305886489775
7512,37.61717931595332
7520,38.26940014139842
7528,38.914801271029546
7536,39.553215613051194
7544,40.18447607566863
7552,40.80841556708611
7560,41.42486699550845
7568,42.03366326914028
7577,42.63463729618637
7585,43.227621984851226
7593,43.81245024333979
7601,44.38895367207445
7609,44.956957904159026
7617,45.51628436447186
7625,46.06675391896278
7633,46.60818801211431
7641,47.140411530652074
7649,47.663255116998684
7657,48.17655071894566
7665,48.6801331350855
7673,49.17384856720744
7681,49.65756333808082
7689,50.13121285118979
7697,50.594749780196764
7705,51.04812679876508
7713,51.491296580557176
7721,51.92421179923629
7729,52.346825128465085
7737,52.75908924190655
7745,53.16095681322336
7753,53.5523805160785
7761,53.933313024135
7769,54.30370701105539
7777,54.66351515050267
7785,55.01269011613973
7793,55.35118458162981
7801,55.678951220634886
7810,55.995942706818624
7818,56.302111713843715
7826,56.597410915372805
7834,56.88179298506901
7842,57.155210596595
7850,57.417616423613765
7858,57.66896313978809
7866,57.90920341878097
7874,58.13828993425518
7882,58.35617535987339
7890,58.562812369298825
7898,58.758153636194265
7906,58.94215183422236
7914,59.11475963704624
7922,59.27592971832844
7930,59.42561475173231
7938,59.56376741092041
7946,59.69034036955573
7954,59.805286301300804
7962,59.9085578798191
7970,60.00010777877284
7978,60.079888671825245
7986,60.14785323263908
7994,60.203954134877584
8002,60.248144052203074
8010,60.28037565827867
8018,60.30060149901111
8026,60.308773525661515
8035,60.3048432272477
8043,60.288762009166575
8051,60.26048127681415
8059,60.219952435587345
8067,60.16712689088229
8075,60.101956048095545
8083,60.02439131262393
8091,59.93438408986313
8099,59.83188578521049
8107,59.716847804062255
8115,59.58922155181432
8123,59.44895843386396
8131,59.29600985560705
8139,59.13032722244029
8147,58.9518619397605
8155,58.76056541296355
8163,58.55638904744639
8171,58.33928424860487
8179,58.10920242183619
8187,57.86609497253666
8195,57.60991330610243
8203,57.34060882793039
8211,57.05813294341658
8219,56.76243705795767
8227,56.453472576950375
8235,56.1311909057909
8243,55.79554344987563
8251,55.44648161460147
8259,55.08395680536418
8268,54.70792042756094
8276,54.31832388658786
8284,53.91511858784152
8292,53.49825593671861
8300,53.067687338615244
8308,52.62336419892801
8316,52.16523792305326
8324,51.693259916387795
8332,51.20738158432786
8340,50.70755433226991
8348,50.19372956561064
8356,49.66585868974629
8364,49.12389311007365
8372,48.56778423198877
8380,47.997483460888404
8388,47.41294220216905
8396,46.81411186122659
8404,46.20094384345852
8412,45.573389554260494
8420,44.93140497320073
8428,44.27497140843593
8436,43.604114101801834
8444,42.918910254617145
8452,42.21945662296798
8460,41.505883254441855
8468,40.77833995097678
8476,40.037022240410934
8484,39.28213708205913
8492,38.513891435235514
8501,37.732506925160145
8509,36.93826384067488
8517,36.13145713652706
8525,35.31238176746401
8533,34.48133268823341
8541,33.6386048535825
8549,32.78449321825872
8557,31.919292737009627
8565,31.04329836458246
8573,30.156805055724657
8581,29.260107765183687
8589,28.353516123425468
8597,27.43739846379139
8605,26.51213779534029
8613,25.57811712713193
8621,24.635719468225705
8629,23.685327827681487
8637,22.727325214558466
8645,21.762094637916157
8653,20.79001910681409
8661,19.811481630311782
8669,18.826865217469
8677,17.836552877344673
8685,16.84092761899869
8693,15.840372451490566
8701,14.835270383879724
8709,13.826004425225776
8717,12.812957584587696
8726,11.796512871025914
8734,10.77705329359917
8742,9.754961861367192
8750,8.730621583389635
8758,7.704415468725784
8766,6.676726526435182
8774,5.647937765577453
8782,4.618432195212229
8790,3.588592824398603
8798,2.558802662196527
8806,1.5294447176650827
8814,0.5009019998640198
8822,-0.526442482147246
8830,-1.552205719309086
8838,-2.5760047025620736
8846,-3.597456422846818
8854,-4.61617787110389
8862,-5.63178603827334
8870,-6.643897915295831
8878,-7.652130493112097
8886,-8.656100762662604
8894,-9.655425714887706
8902,-10.649737257673483
8910,-11.638726966688445
8918,-12.622101334546503
8926,-13.599566853861536
8934,-14.57083001724789
8942,-15.53559731731945
8950,-16.493575246689897
8959,-17.444470297973456
8967,-18.387988963784007
8975,-19.32383773673579
8983,-20.25173655896906
8991,-21.171459170729293
8999,-22.082792761788568
9007,-22.985524521918833
9015,-23.879448771578026
9023,-24.76438835396822
9031,-25.64017324297804
9039,-26.50663819151901
9047,-27.363637068598674
9055,-28.211031930244445
9063,-29.048698464468227
9071,-29.87651818848769
9079,-30.694383991223354
9087,-31.50219908140745
9095,-32.29987368929677
9103,-33.08732253284744
9111,-33.864462723365236
9119,-34.6312117879436
9127,-35.38748725367473
9135,-36.133206647652266
9143,-36.86828749696888
9151,-37.59264732871799
9159,-38.306203669992584
9167,-39.00887404788555
9175,-39.70057598948996
9184,-40.38122702189881
9192,-41.05074467220555
9200,-41.70904646750259
9208,-42.356049934883345
9216,-42.99167260144107
9224,-43.61583199426858
9232,-44.228445640458794
9240,-44.82943106710468
9248,-45.41870580129955
9256,-45.996187370136866
9264,-46.5617933007088
9272,-47.11544112010891
9280,-47.657048355430184
9288,-48.18653253376537
9296,-48.703811182207914
9304,-49.20880182785102
9312,-49.70142199778711
9320,-50.181589219109966
9328,-50.64922101891166
9336,-51.10423492428631
9344,-51.546548462326214
9352,-51.976079160124826
9360,-52.392744544775
9368,-52.796462143369844
9376,-53.18714948300268
9384,-53.564724090765814
9392,-53.929103493752905
9400,-54.28020521905705
9408,-54.617946793770905
9417,-54.94224574498813
9425,-55.2530195998009
9433,-55.55018588530279
9441,-55.83366212858677
9449,-56.10336585674627
9457,-56.35921459687361
9465,-56.60112587606235
9473,-56.829017221405216
9481,-57.042806159995905
9489,-57.242410218926466
9497,-57.427746925290926
9505,-57.59873380618157
9513,-57.75528838869186
9521,-57.89732819991464
9529,-58.02477076694336
9537,-58.13753361687057
9545,-58.23553427678968
9553,-58.31869027379345
9561,-58.386919134975216
9569,-58.44013838742762
9577,-58.4782655582442
9585,-58.501218174517845
9593,-58.50891376334131
9601,-58.50126973227185
9609,-58.47820277621297
9617,-58.43962853250289
9625,-58.385462403971296
9633,-58.315619793448576
9642,-58.230016103764285
9650,-58.128566737748926
9658,-58.01118709823265
9666,-57.877792588045125
9674,-57.728298610016736
9682,-57.562620566977515
9690,-57.38067386175761
9698,-57.18237389718669
9706,-56.967636076095374
9714,-56.73637580131347
9722,-56.488508475671
