Time(microseconds),data_set_0,data_set_1,data_set_2,data_set_3,data_set_4
4848.699375,646,604,604,604,604
4857.53125,646,604,604,604,604
4866.363125,646,604,604,604,604
4875.195,646,604,604,604,601
4884.0268750000005,646,604,604,604,603
4892.85875,646,604,604,604,604
4901.690625,646,604,604,604,603
4910.5225,646,604,604,604,601
4919.354375,646,604,603,601,601
4928.18625,646,604,604,603,603
4937.0181250000005,646,604,604,604,604
4945.85,646,604,604,604,604
4954.681875,646,604,601,604,601
4963.51375,646,604,604,604,601
4972.345625,646,604,604,604,603
4981.1775,646,604,604,604,601
4990.009375,646,604,604,604,601
4998.84125,646,604,604,604,601
5007.673125,646,604,604,604,603
5016.505,646,604,604,601,604
5025.336875,646,604,604,604,601
5034.16875,646,604,601,604,601
5043.000625,646,604,604,604,601
5051.8325,646,604,603,604,601
5060.664375,646,604,601,603,601
5069.49625,646,604,601,604,603
5078.328125,646,604,604,601,603
5087.16,646,604,603,601,601
5095.991875,646,604,603,604,603
5104.8237500000005,646,604,601,603,601
5113.655625,646,604,603,604,601
5122.4875,646,604,603,604,601
5131.319375,646,604,601,603,601
5140.15125,646,604,601,604,601
5148.983125,646,604,603,601,601
5157.8150000000005,646,604,601,603,601
5166.646875,646,604,604,601,603
5175.47875,646,604,601,601,601
5184.310625,646,604,601,603,601
5193.1425,646,604,601,601,601
5201.974375,646,604,601,603,601
5210.80625,646,604,601,603,601
5219.638125,646,604,603,601,601
5228.47,646,604,601,604,601
5237.301875,646,604,603,603,601
5246.13375,646,604,604,603,601
5254.965625,646,604,603,601,601
5263.7975,646,604,601,601,601
5272.629375,646,604,601,603,601
5281.46125,646,604,603,601,601
5290.293125,646,604,601,604,601
5299.125,646,604,601,603,601
5307.956875,646,604,601,604,601
5316.78875,646,604,601,601,601
5325.6206250000005,646,604,601,604,601
5334.4525,646,604,601,601,601
5343.284375,646,604,601,601,600
5352.11625,646,604,601,601,601
5360.948125,646,604,601,601,600
5369.78,646,604,601,601,601
5378.6118750000005,646,604,601,601,601
5387.44375,646,604,601,603,601
5396.275625,646,604,601,601,601
5405.1075,646,604,601,601,601
5413.939375,646,604,601,601,601
5422.77125,646,604,601,601,601
5431.603125,646,604,601,601,601
5440.435,646,604,601,601,601
5449.266875,646,604,601,601,601
5458.09875,646,604,601,604,601
5466.930625,646,604,601,601,601
5475.7625,646,604,601,601,601
5484.594375,646,604,601,601,601
5493.42625,646,604,601,601,601
5502.258125,646,604,601,601,601
5511.09,646,604,601,601,601
5519.921875,646,604,601,601,601
5528.75375,646,604,601,601,601
5537.585625,646,604,601,601,601
5546.4175000000005,646,604,600,601,601
5555.249375,646,604,601,601,601
5564.08125,646,604,601,601,601
5572.913125,646,604,601,601,601
5581.745,646,604,601,601,601
5590.576875,646,604,601,601,601
5599.4087500000005,646,604,601,601,601
5608.240625,646,604,601,601,601
5617.0725,646,604,601,601,601
5625.904375,646,604,601,601,601
5634.73625,646,604,601,601,601
5643.568125,646,604,601,601,601
